Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type,exercise_duration_int
35,1341.2,1027937,2018-04-22 14:10:07.487,2018-04-22 14:10:07.487,UTC-0300,1.3047493,2018-04-22 12:59:07.000,1.6666666,1001,2018-04-22 12:42:00.000,69.44,2018-04-22,12:42:00,2018-04-22,0 days 00:17:07.937000000,17.132283333333337,12,12,Walking,17
188,1225.9,915072,2018-04-24 00:31:24.053,2018-04-24 00:31:24.053,UTC-0300,1.339676,2018-04-24 00:23:43.000,1.8365734,1001,2018-04-24 00:08:28.000,63.62,2018-04-24,00:08:28,2018-04-24,0 days 00:15:15.072000000,15.2512,0,0,Walking,15
10,986.878,913248,2018-04-24 00:24:51.434,2018-04-24 00:24:51.434,UTC-0300,1.1084015,2018-04-24 00:23:51.330,1.4722222,1001,2018-04-24 00:08:38.082,59.21,2018-04-24,00:08:38.082000,2018-04-24,0 days 00:15:13.248000000,15.2208,0,0,Walking,15
306,2508.069,2298769,2018-04-24 11:40:05.255,2018-04-24 11:40:05.255,UTC-0300,1.1273139,2018-04-24 11:39:04.638,1.5833334,1001,2018-04-24 11:00:45.869,161.1,2018-04-24,11:00:45.869000,2018-04-24,0 days 00:38:18.769000000,38.31281666666667,11,11,Walking,38
217,2141.81,1550970,2018-04-27 12:56:31.780,2018-04-27 12:56:31.780,UTC-0300,1.3809486999999998,2018-04-27 12:53:50.000,1.6111112,1001,2018-04-27 12:28:00.000,111.21,2018-04-27,12:28:00,2018-04-27,0 days 00:25:50.970000000,25.8495,12,12,Walking,25
180,2726.97,2053573,2018-04-27 11:58:35.311,2018-04-27 11:58:35.311,UTC-0300,1.3279147,2018-04-27 11:53:31.000,2.2777777,1001,2018-04-27 11:19:18.000,144.52,2018-04-27,11:19:18,2018-04-27,0 days 00:34:13.573000000,34.22621666666667,11,11,Walking,34
389,2331.137,2062666,2018-04-27 11:54:43.562,2018-04-27 11:54:43.562,UTC-0300,1.1911435,2018-04-27 11:53:41.629,1.5833334,1001,2018-04-27 11:19:18.963,140.76,2018-04-27,11:19:18.963000,2018-04-27,0 days 00:34:22.666000000,34.377766666666666,11,11,Walking,34
442,2184.625,1886135,2018-04-27 12:54:49.746,2018-04-27 12:54:49.746,UTC-0300,1.1855159,2018-04-27 12:53:47.804,1.4722222,1001,2018-04-27 12:22:21.669,130.44,2018-04-27,12:22:21.669000,2018-04-27,0 days 00:31:26.135000000,31.435583333333337,12,12,Walking,31
179,912.45,983381,2018-05-04 12:13:01.443,2018-05-04 12:13:01.443,UTC-0300,1.2588723,2018-05-04 12:12:00.302,1.9166666,1001,2018-05-04 11:55:36.921,53.07,2018-05-04,11:55:36.921000,2018-05-04,0 days 00:16:23.381000000,16.389683333333334,11,12,Walking,16
51,1018.516,917478,2018-05-05 20:47:42.365,2018-05-05 20:47:42.365,UTC-0300,1.3320335,2018-05-05 20:46:41.730,1.5277778,1001,2018-05-05 20:31:24.252,60.91,2018-05-05,20:31:24.252000,2018-05-05,0 days 00:15:17.478000000,15.291300000000001,20,20,Walking,15
378,1144.559,1147690,2018-05-06 14:12:54.361,2018-05-06 14:12:54.361,UTC-0300,1.1091198999999998,2018-05-06 14:11:52.911,1.6666666,1001,2018-05-06 13:52:45.221,70.01,2018-05-06,13:52:45.221000,2018-05-06,0 days 00:19:07.690000000,19.12816666666667,13,14,Walking,19
285,1485.91,1263834,2018-05-06 16:25:35.206,2018-05-06 16:25:35.206,UTC-0300,1.175716,2018-05-06 16:24:03.000,1.9444444,1001,2018-05-06 16:03:00.000,81.23,2018-05-06,16:03:00,2018-05-06,0 days 00:21:03.834000000,21.0639,16,16,Walking,21
269,1371.29,1438446,2018-05-06 13:23:43.343,2018-05-06 13:23:43.343,UTC-0300,1.0655556000000002,2018-05-06 13:22:42.505,1.4166666,1001,2018-05-06 12:58:44.059,83.17,2018-05-06,12:58:44.059000,2018-05-06,0 days 00:23:58.446000000,23.974100000000004,12,13,Walking,23
233,1395.167,1117377,2018-05-06 16:21:01.490,2018-05-06 16:21:01.490,UTC-0300,1.4123343000000002,2018-05-06 16:20:00.258,1.6388888,1001,2018-05-06 16:01:22.881,78.39,2018-05-06,16:01:22.881000,2018-05-06,0 days 00:18:37.377000000,18.622950000000003,16,16,Walking,18
